ID,Time,Type,X,Y,HitSound,Extra
2269930-0,8262,slider,367,107,0,L|373:36
2269930-0,8643,slider,428,184,0,P|364:152|278:184
2269930-0,9021,slider,261,268,0,L|340:262
2269930-0,9273,slider,300,364,0,L|144:353
2269930-0,9783,slider,12,261,0,L|168:272
2269930-0,10274,slider,44,80,0,P|34:114|44:149
2269930-0,10638,slider,107,13,0,B|186:-2|163:56|261:31
2269930-0,11002,slider,294,136,0,L|215:131
2269930-0,11259,slider,356,57,0,B|386:97|386:97|379:203
2269930-0,11774,slider,424,368,0,B|429:274|429:274|450:258|463:238
2269930-0,12289,slider,498,21,0,L|490:94
2269930-0,12529,circle,418,151,2,
2269930-0,12650,slider,403,53,0,P|336:32|268:63
2269930-0,13011,slider,227,160,0,L|299:157
2269930-0,13252,slider,395,208,0,B|379:232|354:243|354:243|359:345
2269930-0,13778,slider,254,186,0,L|261:355
2269930-0,14280,slider,156,252,0,L|162:333
2269930-0,14523,circle,81,382,2,
2269930-0,14645,slider,5,338,0,L|13:182
2269930-0,15011,slider,52,104,0,P|88:94|129:101
2269930-0,15255,slider,170,6,0,P|202:24|226:58
2269930-0,15511,slider,322,20,0,P|332:55|325:97
2269930-0,15767,slider,419,137,0,P|400:169|366:193
2269930-0,16024,circle,260,221,2,
2269930-0,16152,circle,260,221,2,
2269930-0,16280,slider,326,112,0,L|235:100
2269930-0,16526,circle,397,38,2,
2269930-0,16650,slider,397,38,0,P|426:94|404:179
2269930-0,17020,slider,313,280,0,P|310:239|328:198
2269930-0,17267,circle,411,267,2,
2269930-0,17393,circle,340,372,0,
2269930-0,17519,slider,340,372,0,L|256:367
2269930-0,17771,slider,422,254,0,L|493:258
2269930-0,18023,slider,334,384,0,L|250:379
2269930-0,18275,slider,116,267,0,P|149:258|187:266
2269930-0,18521,circle,50,343,2,
2269930-0,18645,slider,50,343,0,B|19:309|19:309|29:204
2269930-0,19015,slider,125,165,0,L|119:249
2269930-0,19262,slider,48,101,0,P|77:75|122:69
2269930-0,19509,slider,183,200,0,P|145:187|118:151
2269930-0,19756,slider,195,32,0,L|204:115
2269930-0,20003,circle,352,148,0,
2269930-0,20126,circle,289,81,2,
2269930-0,20250,slider,275,239,0,L|267:167
2269930-0,20510,circle,374,60,2,
2269930-0,20641,slider,374,60,0,P|439:63|486:138
2269930-0,21014,slider,484,214,0,L|398:208
2269930-0,21263,slider,512,312,0,L|351:301
2269930-0,21661,circle,303,367,0,
2269930-0,21793,slider,303,367,0,L|142:356
2269930-0,22158,circle,99,281,0,
2269930-0,22280,slider,185,198,0,L|180:275
2269930-0,22520,circle,9,292,2,
2269930-0,22640,slider,9,292,0,P|17:235|88:189
2269930-0,23000,slider,142,109,0,L|62:98
2269930-0,23240,circle,185,198,2,
2269930-0,24265,slider,469,365,0,L|478:274
2269930-0,24515,circle,429,181,0,
2269930-0,24640,slider,383,317,0,P|309:334|228:292
2269930-0,25015,slider,323,152,0,L|313:257
2269930-0,25265,slider,175,369,0,L|200:197
2269930-0,25640,circle,99,123,0,
2269930-0,25765,slider,99,123,0,L|75:283
2269930-0,26140,circle,27,48,0,
2269930-0,26265,slider,27,48,0,P|61:25|120:24
2269930-0,26515,circle,104,139,2,
2269930-0,26640,slider,190,70,0,B|250:63|250:63|287:88|287:88|356:81
2269930-0,27015,slider,428,34,0,P|470:25|510:42
2269930-0,27265,slider,502,133,0,P|460:142|420:125
2269930-0,27515,circle,395,35,2,
2269930-0,27640,slider,365,198,0,P|336:166|330:122
2269930-0,27890,circle,454,181,0,
2269930-0,28015,slider,454,181,0,L|441:274
2269930-0,28265,slider,358,367,0,L|352:284
2269930-0,28515,circle,210,207,2,
2269930-0,28640,slider,210,207,0,B|255:231|255:231|259:360
2269930-0,29015,slider,84,289,0,L|177:284
2269930-0,29265,slider,16,215,0,P|-9:296|25:369
2269930-0,29640,circle,131,177,0,
2269930-0,29765,slider,131,177,0,P|73:114|-6:107
2269930-0,30140,circle,134,29,0,
2269930-0,30265,slider,134,29,0,L|217:22
2269930-0,30515,circle,226,196,0,
2269930-0,30640,slider,355,117,0,L|177:110
2269930-0,31015,slider,407,33,0,P|440:61|455:102
2269930-0,31265,slider,342,224,0,L|357:98
2269930-0,31515,slider,346,100,0,L|336:175
2269930-0,31765,slider,433,269,0,P|391:312|332:318
